ProductID,SKU,Category_Name,Sub-Category,Product_Name,Brand,Product_Description,Gender,Color,Size,Selling_Price,Discount
PROD_00001,SKU-FAS-0001,Fashion,Jeans,BIBA Jeans Premium,BIBA,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Men,Green,XXL,17460,20
PROD_00002,SKU-FAS-0002,Fashion,Jeans,Zara Jeans Advanced,Zara,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Women,Grey,L,55375.2,20
PROD_00003,SKU-FAS-0003,Fashion,Jeans,GoSriKi Jeans Deluxe,GoSriKi,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Men,Red,L,56669.4,10
PROD_00004,SKU-FAS-0004,Fashion,Jeans,Janasya Jeans Advanced,Janasya,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Women,Beige,XL,33807.2,30
PROD_00005,SKU-FAS-0005,Fashion,Jeans,Levi’s Jeans Classic,Levi’s,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Women,Navy,XXL,57395.2,20
PROD_00006,SKU-FAS-0006,Fashion,Jeans,Janasya Jeans Advanced,Janasya,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Unisex,Red,L,17648.4,30
PROD_00007,SKU-FAS-0007,Fashion,Jeans,Levi’s Jeans Classic,Levi’s,"This product showcases premium craftsmanship with attention to detail. Comfortable, breathable, and stylish, it fits perfectly for various occasions, from casual outings to festive events.",Women,Grey,XXL,78592.8,20
PROD_00008,SKU-FAS-0008,Fashion,Jeans,BIBA Jeans Deluxe,BIBA,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Unisex,Pink,S,15335.1,10
PROD_00009,SKU-FAS-0009,Fashion,Jeans,Levi’s Jeans Premium,Levi’s,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Men,Black,S,69368.6,30
PROD_00010,SKU-FAS-0010,Fashion,Jeans,GoSriKi Jeans Premium,GoSriKi,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Men,Maroon,M,75097.5,5
PROD_00011,SKU-FAS-0011,Fashion,Jeans,Janasya Jeans Advanced,Janasya,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Unisex,Red,M,65380,30
PROD_00012,SKU-FAS-0012,Fashion,Jeans,GoSriKi Jeans Advanced,GoSriKi,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Women,White,S,23525.1,10
PROD_00013,SKU-FAS-0013,Fashion,Jeans,GoSriKi Jeans Pro,GoSriKi,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Men,Grey,XL,55235.2,20
PROD_00014,SKU-FAS-0014,Fashion,Jeans,BIBA Jeans Pro,BIBA,"This product showcases premium craftsmanship with attention to detail. Comfortable, breathable, and stylish, it fits perfectly for various occasions, from casual outings to festive events.",Unisex,Navy,L,25661.25,25
PROD_00015,SKU-FAS-0015,Fashion,Jeans,BIBA Jeans Advanced,BIBA,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Men,Navy,XL,15552,10
PROD_00016,SKU-FAS-0016,Fashion,Jeans,Levi’s Jeans Classic,Levi’s,"This product showcases premium craftsmanship with attention to detail. Comfortable, breathable, and stylish, it fits perfectly for various occasions, from casual outings to festive events.",Men,Black,L,43506.4,20
PROD_00017,SKU-FAS-0017,Fashion,Jeans,Levi’s Jeans Deluxe,Levi’s,"This product showcases premium craftsmanship with attention to detail. Comfortable, breathable, and stylish, it fits perfectly for various occasions, from casual outings to festive events.",Women,Grey,L,46971,10
PROD_00018,SKU-FAS-0018,Fashion,Jeans,Janasya Jeans Advanced,Janasya,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Women,Maroon,M,39307.4,15
PROD_00019,SKU-FAS-0019,Fashion,Jeans,Janasya Jeans Premium,Janasya,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Unisex,Beige,XXL,15345,10
PROD_00020,SKU-FAS-0020,Fashion,Jeans,BIBA Jeans Pro,BIBA,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Women,Beige,XL,48271.5,15
PROD_00021,SKU-FAS-0021,Fashion,Jeans,H&M Jeans Deluxe,H&M,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Unisex,Green,S,37225.6,20
PROD_00022,SKU-FAS-0022,Fashion,Jeans,Levi’s Jeans Deluxe,Levi’s,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Women,Green,S,954.8,30
PROD_00023,SKU-FAS-0023,Fashion,Jeans,GoSriKi Jeans Classic,GoSriKi,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Women,Pink,XL,22550.25,25
PROD_00024,SKU-FAS-0024,Fashion,Jeans,BIBA Jeans Premium,BIBA,"Made with high-quality materials and designed to provide a modern fit. Ideal for both daily wear and special occasions, offering durability and elegance.",Women,Maroon,XL,13076.4,15
PROD_00025,SKU-FAS-0025,Fashion,Jeans,BIBA Jeans Premium,BIBA,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Unisex,Green,L,70619.2,20
PROD_00026,SKU-FAS-0026,Fashion,Jeans,Levi’s Jeans Deluxe,Levi’s,"This product showcases premium craftsmanship with attention to detail. Comfortable, breathable, and stylish, it fits perfectly for various occasions, from casual outings to festive events.",Unisex,Grey,XXL,17759,30
PROD_00027,SKU-FAS-0027,Fashion,Jeans,H&M Jeans Advanced,H&M,"Combines comfort and contemporary style with excellent finish. Suitable for Indian climates and trends, perfect for fashion-conscious individuals.",Men,Beige,L,46998.4,5
